# Real international results used to backtest the predictor.
# Seed set = 2022 World Cup 90-minute results (all neutral venue) between teams
# that have squads in this repo. VERIFY/EXPAND before relying on backtest numbers.
# Columns: date,home,away,home_goals,away_goals,neutral[,odds_home,odds_draw,odds_away]
# The 3 trailing odds columns are OPTIONAL closing decimal odds (e.g. 1.80,3.60,4.50).
# When present, backtest.py de-vigs them and benchmarks the model against the market.
# NOTE: for neutral fixtures (neutral=1) the home/away column order is arbitrary and does
# NOT bias the model — Elo/squad treat neutral games symmetrically. It only affects the
# vanity "accuracy" of the always-pick-home prior baseline, not RPS/Brier/log-loss.
2022-11-22,Argentina,Saudi Arabia,1,2,1
2022-11-26,Argentina,Mexico,2,0,1
2022-11-30,Poland,Argentina,0,2,1
2022-12-03,Argentina,Australia,2,1,1
2022-11-22,Mexico,Poland,0,0,1
2022-11-30,Saudi Arabia,Mexico,1,2,1
2022-11-22,Denmark,Tunisia,0,0,1
2022-11-26,France,Denmark,2,1,1
2022-11-22,France,Australia,4,1,1
2022-11-30,Tunisia,France,1,0,1
2022-11-26,Australia,Tunisia,1,0,1
2022-11-30,Australia,Denmark,1,0,1
2022-11-21,England,Iran,6,2,1
2022-11-25,England,USA,0,0,1
2022-11-29,England,Senegal,3,0,1
2022-11-21,Senegal,Netherlands,0,2,1
2022-11-25,Netherlands,Ecuador,1,1,1
2022-11-29,Netherlands,Qatar,2,0,1
2022-11-20,Qatar,Ecuador,0,2,1
2022-11-25,Qatar,Senegal,1,3,1
2022-11-23,Germany,Japan,1,2,1
2022-11-27,Spain,Germany,1,1,1
2022-12-01,Japan,Spain,2,1,1
2022-11-24,Switzerland,Cameroon,1,0,1
2022-11-28,Cameroon,Serbia,3,3,1
2022-12-02,Serbia,Switzerland,2,3,1
2022-11-24,Brazil,Serbia,2,0,1
2022-11-28,Brazil,Switzerland,1,0,1
2022-12-02,Cameroon,Brazil,1,0,1
2022-11-24,Portugal,Ghana,3,2,1
2022-12-02,South Korea,Portugal,2,1,1
2022-11-27,Portugal,Uruguay,2,0,1
2022-11-23,Morocco,Croatia,0,0,1
2022-11-27,Belgium,Morocco,0,2,1
2022-11-27,Croatia,Canada,4,1,1
2022-12-10,Morocco,Portugal,1,0,1
2022-12-09,England,France,1,2,1
2022-12-13,France,Morocco,2,0,1
2022-12-09,Netherlands,Argentina,2,2,1
2022-12-06,Brazil,South Korea,4,1,1
# --- More 2022 World Cup (knockouts decided in ET/pens recorded as 90' draws) ---
2022-12-03,Netherlands,USA,3,1,1
2022-12-05,Japan,Croatia,1,1,1
2022-12-09,Croatia,Brazil,1,1,1
2022-12-04,France,Poland,3,1,1
2022-12-17,Croatia,Morocco,2,1,1
2022-12-18,Argentina,France,2,2,1
# --- Euro 2024 (Germany host; Germany games neutral=0) ---
2024-06-14,Germany,Scotland,5,1,0
